trade_id,entry_time,entry_price,exit_time,exit_price,exit_reason,size,pnl,pnl_pct,is_partial,entry_pos,exit_pos,bars_held,capital_before,capital_after,stop_price,tp_price,risk_used,tier_at_entry
0,2023-02-17 02:00:00,23787.0,2023-02-17 20:00:00,24578.196428571428,take_profit,15.79885796826685,12499.99999999997,3.326171558294142,False,0.5,0.5,72,100000.0,112499.99999999997,23470.52142857143,24578.196428571428,5000,Tier 1: $0k-$150k ($5.0k risk)
1,2023-02-18 10:00:00,24527.3,2023-02-18 18:00:00,24789.585714285713,take_profit,47.65795206971621,12499.999999999827,1.06936236065818,False,0.5,0.5,32,112499.99999999997,124999.9999999998,24422.385714285712,24789.585714285713,5000,Tier 1: $0k-$150k ($5.0k risk)
2,2023-02-19 08:00:00,24605.5,2023-02-19 15:15:00,24889.99642857143,take_profit,43.93728266736966,12500.00000000008,1.1562310400984757,False,0.5,0.5,29,124999.9999999998,137499.99999999988,24491.70142857143,24889.99642857143,5000,Tier 1: $0k-$150k ($5.0k risk)
3,2023-03-15 03:30:00,24753.9,2023-03-15 05:00:00,24858.4,pos_exit,17.3363449041053,1811.6480424790038,0.4221557007178666,False,0.5,-0.5,6,137499.99999999988,139311.6480424789,24465.488571428574,25474.928571428572,5000,Tier 1: $0k-$150k ($5.0k risk)
4,2023-03-15 06:00:00,24705.6,2023-03-15 06:45:00,24799.9,pos_exit,29.983723121733934,2827.4650903795973,0.38169483841721275,False,0.5,-0.5,3,139311.6480424789,142139.11313285847,24538.842857142856,25122.492857142854,5000,Tier 1: $0k-$150k ($5.0k risk)
5,2023-03-15 08:15:00,24814.8,2023-03-15 08:45:00,24768.8,pos_exit,27.177922209021567,-1250.184421614992,-0.18537324499895225,False,0.5,-0.5,2,142139.11313285847,140888.92871124347,24630.827142857142,25274.73214285714,5000,Tier 1: $0k-$150k ($5.0k risk)
6,2023-03-15 10:15:00,24469.1,2023-03-15 12:30:00,24996.917857142857,take_profit,23.682412087503256,12500.000000000085,2.157079161648193,False,0.5,0.5,9,140888.92871124347,153388.92871124356,24257.972857142857,24996.917857142857,5000,Tier 1: $0k-$150k ($5.0k risk)
7,2023-03-19 00:15:00,26977.8,2023-03-19 15:00:00,27631.682142857142,take_profit,40.14484917006647,26249.999999999854,2.4237785989114857,False,0.5,0.25,59,153388.92871124356,179638.9287112434,26716.24714285714,27631.682142857142,10500,Tier 2: $150k-$225k ($10.5k risk)
8,2023-03-20 06:30:00,27459.1,2023-03-20 07:30:00,28068.978571428568,take_profit,43.041354836442856,26249.999999999924,2.2210435572490344,False,0.5,0.5,4,179638.9287112434,205888.92871124332,27215.14857142857,28068.978571428568,10500,Tier 2: $150k-$225k ($10.5k risk)
9,2023-04-28 08:30:00,29199.9,2023-04-28 13:30:00,29036.20285714286,stop_loss,64.14284218242803,-10499.999999999998,-0.5606085735127224,False,0.5,0.5,20,205888.92871124332,195388.92871124332,29036.20285714286,29609.14285714286,10500,Tier 2: $150k-$225k ($10.5k risk)
10,2023-05-06 08:00:00,29245.0,2023-05-06 12:30:00,29120.69714285714,stop_loss,84.4711074334565,-10500.0,-0.4250396893241872,False,0.5,0.5,18,195388.92871124332,184888.92871124332,29120.69714285714,29555.757142857146,10500,Tier 2: $150k-$225k ($10.5k risk)
11,2023-05-30 00:15:00,27661.8,2023-05-30 10:30:00,27973.875,take_profit,84.11439557798488,26249.99999999969,1.1281803787172229,False,0.75,0.75,41,184888.92871124332,211138.928711243,27536.969999999998,27973.875,10500,Tier 2: $150k-$225k ($10.5k risk)
12,2023-06-07 09:45:00,26476.5,2023-06-07 11:30:00,26898.664285714283,take_profit,62.17958479264967,26249.99999999966,1.5944867551008757,False,0.75,0.25,7,211138.928711243,237388.92871124265,26307.634285714284,26898.664285714283,10500,Tier 2: $150k-$225k ($10.5k risk)
13,2023-06-18 00:30:00,26406.8,2023-06-18 05:15:00,26605.024999999998,take_profit,184.44948921679705,36562.49999999932,0.7506589211869615,False,0.75,0.75,19,237388.92871124265,273951.428711242,26327.51,26605.024999999998,14625,Tier 3: $225k-$338k ($14.6k risk)
14,2023-06-22 06:15:00,30120.6,2023-06-22 11:00:00,29949.04714285714,stop_loss,85.25069324739493,-14625.0,-0.5695532530655384,False,0.5,0.5,19,273951.428711242,259326.42871124198,29949.04714285714,30549.48214285714,14625,Tier 3: $225k-$338k ($14.6k risk)
15,2023-06-24 07:30:00,30593.6,2023-06-24 15:30:00,30493.365714285712,stop_loss,145.90815802975746,-14625.0,-0.327631549455725,False,0.5,0.5,32,259326.42871124198,244701.42871124198,30493.365714285712,30844.185714285715,14625,Tier 3: $225k-$338k ($14.6k risk)
16,2023-06-28 04:00:00,30416.3,2023-06-28 07:15:00,30276.967142857142,stop_loss,104.96447356279394,-14625.0,-0.45808614835748396,False,0.5,0.5,13,244701.42871124198,230076.42871124198,30276.967142857142,30764.632142857146,14625,Tier 3: $225k-$338k ($14.6k risk)
17,2023-08-30 09:15:00,27327.5,2023-08-30 13:30:00,27245.63857142857,stop_loss,178.65556777132124,-14625.0,-0.2995569611981645,False,0.75,0.75,17,230076.42871124198,215451.42871124198,27245.63857142857,27532.153571428567,14625,Tier 3: $225k-$338k ($14.6k risk)
18,2023-11-10 04:00:00,36727.1,2023-11-10 07:15:00,36548.79714285714,stop_loss,64.77742524757184,-11550.000000000002,-0.4854803595787813,False,1.0,1.0,13,215451.42871124198,203901.42871124198,36548.79714285714,37239.72071428571,10500,Tier 2: $150k-$225k ($10.5k risk)
19,2023-12-20 01:30:00,42332.3,2023-12-20 04:45:00,42828.360714285714,take_profit,52.91690965247736,26250.000000000386,1.1718255664958237,False,0.75,0.5,13,203901.42871124198,230151.42871124236,42133.87571428572,42828.360714285714,10500,Tier 2: $150k-$225k ($10.5k risk)
20,2023-12-21 08:45:00,43709.9,2023-12-21 13:45:00,44266.42142857143,take_profit,65.69827884948558,36562.5,1.273215972975074,False,0.5,0.5,20,230151.42871124236,266713.9287112424,43487.29142857143,44266.42142857143,14625,Tier 3: $225k-$338k ($14.6k risk)
21,2024-01-03 00:00:00,45042.3,2024-01-03 03:00:00,45312.8,pos_exit,42.23129756821989,11423.56599220348,0.60054659730964,False,0.5,-0.5,12,266713.9287112424,278137.4947034459,44695.99285714286,45908.067857142865,14625,Tier 3: $225k-$338k ($14.6k risk)
22,2024-01-05 11:45:00,43769.9,2024-01-05 13:15:00,43907.0,pos_exit,40.034491254003704,5488.7287509238495,0.31322895414428303,False,0.75,-0.25,6,278137.4947034459,283626.2234543697,43404.590000000004,44683.175,14625,Tier 3: $225k-$338k ($14.6k risk)
23,2024-01-09 09:45:00,46497.8,2024-01-09 12:45:00,46215.997142857144,stop_loss,51.89798339264505,-14625.0,-0.6060563234020934,False,0.5,0.5,12,283626.2234543697,269001.2234543697,46215.997142857144,47202.30714285715,14625,Tier 3: $225k-$338k ($14.6k risk)
24,2024-01-10 05:30:00,45965.2,2024-01-10 08:15:00,45728.474285714285,stop_loss,61.780360634369366,-14625.0,-0.5150107348292022,False,0.75,0.75,11,269001.2234543697,254376.2234543697,45728.474285714285,46557.01428571428,14625,Tier 3: $225k-$338k ($14.6k risk)
25,2024-01-27 07:30:00,41664.1,2024-01-27 08:15:00,41543.17857142857,stop_loss,120.94630515683397,-14625.0,-0.29022930669671515,False,0.75,0.75,3,254376.2234543697,239751.2234543697,41543.17857142857,41966.40357142857,14625,Tier 3: $225k-$338k ($14.6k risk)
26,2024-01-27 08:15:00,41619.6,2024-01-27 08:45:00,41481.34714285714,stop_loss,105.78443225146586,-14625.0,-0.3321820900317534,False,0.75,0.75,2,239751.2234543697,225126.2234543697,41481.34714285714,41965.232142857145,14625,Tier 3: $225k-$338k ($14.6k risk)
27,2024-01-27 08:45:00,41455.4,2024-01-27 19:30:00,41894.889285714286,take_profit,83.19315439186819,36562.500000000306,1.0601496685939202,False,0.75,0.75,43,225126.2234543697,261688.72345437,41279.60428571429,41894.889285714286,14625,Tier 3: $225k-$338k ($14.6k risk)
28,2024-01-31 00:45:00,42913.0,2024-01-31 09:45:00,42608.311428571425,stop_loss,52.799814330322704,-16087.500000000002,-0.7100146142860544,False,1.25,1.25,36,261688.72345437,245601.22345437,42608.311428571425,43788.97964285714,14625,Tier 3: $225k-$338k ($14.6k risk)
29,2024-02-10 07:45:00,47130.5,2024-02-10 10:45:00,47003.87,stop_loss,127.04335465529759,-16087.500000000002,-0.26867951750988717,False,1.0,1.0,12,245601.22345437,229513.72345437,47003.87,47494.56125,14625,Tier 3: $225k-$338k ($14.6k risk)
30,2024-02-10 10:45:00,46872.6,2024-02-10 19:15:00,47419.486607142855,take_profit,84.57249070631953,46251.562499999854,1.1667511662311383,False,1.0,1.0,34,229513.72345437,275765.2859543698,46682.37857142857,47419.486607142855,14625,Tier 3: $225k-$338k ($14.6k risk)
31,2024-02-13 11:00:00,49730.4,2024-02-13 13:30:00,49475.49428571429,stop_loss,63.111570664784004,-16087.500000000002,-0.5125752342344174,False,1.25,1.25,10,275765.2859543698,259677.7859543698,49475.49428571429,50463.25392857143,14625,Tier 3: $225k-$338k ($14.6k risk)
32,2024-02-14 01:30:00,49363.4,2024-02-14 08:45:00,50132.405000000006,take_profit,60.14468371466954,46251.56249999973,1.5578444758667447,False,1.0,1.0,29,259677.7859543698,305929.3484543695,49095.92,50132.405000000006,14625,Tier 3: $225k-$338k ($14.6k risk)
33,2024-02-21 03:30:00,52062.9,2024-02-21 04:30:00,51874.14428571428,stop_loss,85.22920781962888,-16087.5,-0.3625532083032612,False,1.0,1.0,4,305929.3484543695,289841.8484543695,51874.14428571428,52605.572678571436,14625,Tier 3: $225k-$338k ($14.6k risk)
34,2024-03-01 01:00:00,61422.0,2024-03-04 00:00:00,63365.10160714285,take_profit,23.802956227290892,46251.56249999991,3.1635270866185614,False,1.25,1.0,284,289841.8484543695,336093.41095436946,60746.13857142857,63365.10160714285,14625,Tier 3: $225k-$338k ($14.6k risk)
35,2024-03-07 06:45:00,65931.7,2024-03-07 14:30:00,67498.32999999999,take_profit,36.407766990291194,57037.499999999534,2.3761407638510614,False,1.75,1.75,31,336093.41095436946,393130.910954369,65449.659999999996,67498.32999999999,14625,Tier 3: $225k-$338k ($14.6k risk)
36,2024-03-08 08:15:00,67093.1,2024-03-08 14:30:00,68301.37571428572,take_profit,65.3617374463964,78975.0,1.8008941519853983,False,1.75,1.75,25,393130.910954369,472105.910954369,66721.32285714286,68301.37571428572,20250,Tier 4: $338k-$507k ($20.2k risk)
37,2024-03-09 10:00:00,68263.9,2024-03-09 10:15:00,68001.96142857142,stop_loss,92.76984243852047,-24299.999999999996,-0.38371463017579505,False,1.75,1.75,1,472105.910954369,447805.910954369,68001.96142857142,69115.20035714285,20250,Tier 4: $338k-$507k ($20.2k risk)
38,2024-03-09 10:15:00,68113.8,2024-03-10 01:00:00,69003.91928571428,take_profit,88.72406346821792,78974.99999999806,1.3068119613268885,False,1.75,1.75,59,447805.910954369,526780.910954367,67839.91714285714,69003.91928571428,20250,Tier 4: $338k-$507k ($20.2k risk)
39,2024-03-11 00:00:00,68909.4,2024-03-11 00:30:00,68441.43857142856,stop_loss,71.80078944235244,-33600.0,-0.6790966523746169,False,1.75,1.75,2,526780.910954367,493180.910954367,68441.43857142856,70430.27464285714,28000,Tier 5: $507k-$760k ($28.0k risk)
40,2024-03-12 06:15:00,71590.0,2024-03-12 15:00:00,70982.78285714285,stop_loss,40.01863301431337,-24300.000000000004,-0.8481870971604211,False,1.75,1.25,35,493180.910954367,468880.910954367,70982.78285714285,73563.45571428572,20250,Tier 4: $338k-$507k ($20.2k risk)
41,2024-03-21 11:15:00,66926.0,2024-03-21 15:00:00,66357.67571428571,stop_loss,42.757278917720164,-24300.000000000004,-0.8491831062879756,False,1.75,1.75,15,468880.910954367,444580.910954367,66357.67571428571,68773.05392857143,20250,Tier 4: $338k-$507k ($20.2k risk)
42,2024-03-22 00:30:00,65690.1,2024-03-22 10:15:00,65121.96857142858,stop_loss,39.20747714311601,-22275.0,-0.8648661344272959,False,1.25,0.75,39,444580.910954367,422305.910954367,65121.96857142858,67323.47785714286,20250,Tier 4: $338k-$507k ($20.2k risk)
43,2024-03-27 00:00:00,69972.6,2024-03-27 08:45:00,69570.86571428573,stop_loss,55.44709722844612,-22275.000000000004,-0.5741308536688351,False,1.25,1.25,35,422305.910954367,400030.910954367,69570.86571428573,71127.58607142858,20250,Tier 4: $338k-$507k ($20.2k risk)
44,2024-03-29 03:15:00,70349.3,2024-03-29 06:00:00,70081.55,stop_loss,83.19327731092437,-22275.0,-0.3806008019980298,False,1.25,1.25,11,400030.910954367,377755.910954367,70081.55,71119.08125,20250,Tier 4: $338k-$507k ($20.2k risk)
45,2024-03-29 06:15:00,70379.8,2024-03-29 07:30:00,70060.7242857143,stop_loss,69.81101664182043,-22275.000000000004,-0.45336263286582756,False,1.25,1.25,5,377755.910954367,355480.910954367,70060.7242857143,71297.14267857141,20250,Tier 4: $338k-$507k ($20.2k risk)
46,2024-04-05 06:15:00,67000.0,2024-04-05 09:15:00,66452.77428571429,stop_loss,37.00483999812051,-20249.999999999996,-0.8167547974413618,False,0.75,0.75,12,355480.910954367,335230.910954367,66452.77428571429,68368.0642857143,20250,Tier 4: $338k-$507k ($20.2k risk)
47,2024-04-05 09:45:00,66817.4,2024-04-05 12:00:00,66264.27285714285,stop_loss,26.440575532879,-14625.0,-0.8278190154916969,False,0.75,0.75,9,335230.910954367,320605.910954367,66264.27285714285,68200.21785714285,14625,Tier 3: $225k-$338k ($14.6k risk)
48,2024-04-09 00:30:00,71488.7,2024-04-09 01:00:00,71123.72428571428,stop_loss,44.078275266847726,-16087.500000000002,-0.5105362306010774,False,1.25,1.25,2,320605.910954367,304518.410954367,71123.72428571428,72538.00517857143,14625,Tier 3: $225k-$338k ($14.6k risk)
49,2024-04-09 01:00:00,71122.6,2024-04-09 06:30:00,70690.69,stop_loss,37.247343196498974,-16087.500000000002,-0.6072753245803774,False,1.25,1.25,22,304518.410954367,288430.910954367,70690.69,72364.34125000001,14625,Tier 3: $225k-$338k ($14.6k risk)
50,2024-04-09 06:30:00,70826.1,2024-04-09 07:45:00,70375.66285714287,stop_loss,35.715305132158186,-16087.500000000002,-0.635976204897816,False,1.25,1.25,5,288430.910954367,272343.410954367,70375.66285714287,72121.10678571428,14625,Tier 3: $225k-$338k ($14.6k risk)
51,2024-04-09 09:00:00,70809.2,2024-04-09 13:45:00,70122.43571428572,stop_loss,23.425067864832233,-16087.500000000002,-0.9698800236611602,False,1.25,1.25,19,272343.410954367,256255.91095436702,70122.43571428572,72783.64732142855,14625,Tier 3: $225k-$338k ($14.6k risk)
52,2024-04-20 00:45:00,63407.4,2024-04-20 06:00:00,64006.1,pos_exit,22.449180974935985,13440.324649694108,0.9442115589032148,False,1.25,-0.25,21,256255.91095436702,269696.2356040611,62690.781428571434,65467.678392857146,14625,Tier 3: $225k-$338k ($14.6k risk)
53,2024-04-20 09:00:00,63521.7,2024-04-20 15:30:00,64253.23928571429,take_profit,49.9802276022664,36562.49999999982,1.151636819723487,False,0.75,0.75,26,269696.2356040611,306258.73560406093,63229.08428571428,64253.23928571429,14625,Tier 3: $225k-$338k ($14.6k risk)
54,2024-04-22 01:45:00,64634.3,2024-04-22 03:45:00,65917.10857142857,take_profit,36.05492162286768,46251.56249999994,1.9847179770316532,False,1.25,1.25,8,306258.73560406093,352510.2981040609,64188.10571428572,65917.10857142857,14625,Tier 3: $225k-$338k ($14.6k risk)
55,2024-05-14 06:30:00,61973.4,2024-05-14 10:15:00,61507.67571428571,stop_loss,43.48066145818897,-20250.0,-0.7514906164810901,False,0.75,0.75,15,352510.2981040609,332260.2981040609,61507.67571428571,63137.71071428572,20250,Tier 4: $338k-$507k ($20.2k risk)
56,2024-05-22 02:45:00,70042.0,2024-05-22 04:30:00,69715.26142857144,stop_loss,53.71266674536795,-17550.0,-0.46648949405865464,False,1.75,1.75,7,332260.2981040609,314710.2981040609,69715.26142857144,71103.90035714285,14625,Tier 3: $225k-$338k ($14.6k risk)
57,2024-05-22 04:30:00,69372.7,2024-05-22 15:30:00,70533.04749999999,take_profit,49.15553314847507,57037.499999999636,1.6726284258793287,False,1.75,1.75,44,314710.2981040609,371747.7981040605,69015.67,70533.04749999999,14625,Tier 3: $225k-$338k ($14.6k risk)
58,2024-05-26 02:30:00,68905.2,2024-05-26 07:30:00,69468.8475,take_profit,140.11416709911168,78974.99999999745,0.8180043015621555,False,1.75,1.75,20,371747.7981040605,450722.79810405796,68731.76999999999,69468.8475,20250,Tier 4: $338k-$507k ($20.2k risk)
59,2024-05-31 07:30:00,68212.6,2024-05-31 09:15:00,67963.60857142859,stop_loss,89.46091087473253,-22275.000000000004,-0.36502263302002635,False,1.25,1.25,7,450722.79810405796,428447.79810405796,67963.60857142859,68928.45035714285,20250,Tier 4: $338k-$507k ($20.2k risk)
60,2024-06-04 05:45:00,68995.4,2024-06-04 09:00:00,68759.21428571429,stop_loss,94.31137724551297,-22275.0,-0.3423209580431512,False,1.25,0.75,13,428447.79810405796,406172.79810405796,68759.21428571429,69674.4339285714,20250,Tier 4: $338k-$507k ($20.2k risk)
61,2024-06-04 09:45:00,68752.5,2024-06-04 13:15:00,69451.54285714286,take_profit,72.42045245539902,50625.000000001055,1.016752637566436,False,0.75,1.25,14,406172.79810405796,456797.798104059,68472.88285714286,69451.54285714286,20250,Tier 4: $338k-$507k ($20.2k risk)
62,2024-06-06 05:15:00,70880.0,2024-06-06 12:15:00,71416.94321428571,take_profit,119.26889714994235,64040.62500000196,0.7575383948726175,False,1.0,1.25,28,456797.798104059,520838.423104061,70693.23714285715,71416.94321428571,20250,Tier 4: $338k-$507k ($20.2k risk)
63,2024-06-13 02:30:00,67882.4,2024-06-13 03:15:00,67526.01285714285,stop_loss,78.56624617691014,-28000.0,-0.5250066922459191,False,0.75,0.75,3,520838.423104061,492838.423104061,67526.01285714285,68773.36785714285,28000,Tier 5: $507k-$760k ($28.0k risk)
64,2024-06-26 08:45:00,61458.4,2024-06-26 10:15:00,61206.77285714286,stop_loss,80.47621480762389,-20250.0,-0.4094267713724108,False,0.75,1.25,6,492838.423104061,472588.423104061,61206.77285714286,62087.46785714286,20250,Tier 4: $338k-$507k ($20.2k risk)
65,2024-06-26 10:15:00,61293.1,2024-06-26 17:00:00,61017.32714285714,stop_loss,80.7729964100883,-22275.0,-0.4499247992724462,False,1.25,1.25,27,472588.423104061,450313.423104061,61017.32714285714,62085.946964285715,20250,Tier 4: $338k-$507k ($20.2k risk)
66,2024-06-28 04:00:00,61712.1,2024-06-28 07:45:00,61345.85142857143,stop_loss,60.81934985606953,-22275.0,-0.5934793523937318,False,1.25,1.25,15,450313.423104061,428038.423104061,61345.85142857143,62765.06464285714,20250,Tier 4: $338k-$507k ($20.2k risk)
67,2024-06-28 08:15:00,61373.7,2024-06-28 14:15:00,61134.981428571424,stop_loss,93.31071255453149,-22275.0,-0.3889590678557319,False,1.25,1.25,24,428038.423104061,405763.423104061,61134.981428571424,62060.01589285713,20250,Tier 4: $338k-$507k ($20.2k risk)
68,2024-07-02 07:15:00,62678.9,2024-07-02 08:00:00,62493.48714285715,stop_loss,120.13729977117049,-22275.000000000004,-0.2958138339103779,False,1.25,1.25,3,405763.423104061,383488.423104061,62493.48714285715,63211.96196428571,20250,Tier 4: $338k-$507k ($20.2k risk)
69,2024-07-02 08:15:00,62681.1,2024-07-02 14:00:00,62437.47,stop_loss,91.42962689324074,-22275.0,-0.38868175574455044,False,1.25,1.25,23,383488.423104061,361213.423104061,62437.47,63381.53624999999,20250,Tier 4: $338k-$507k ($20.2k risk)
70,2024-07-07 07:15:00,57249.3,2024-07-07 13:15:00,56936.729999999996,stop_loss,71.26403685574273,-22275.000000000004,-0.5459804748704473,False,1.25,1.25,24,361213.423104061,338938.423104061,56936.729999999996,58147.938750000016,20250,Tier 4: $338k-$507k ($20.2k risk)
71,2024-07-16 08:30:00,62706.5,2024-07-16 15:45:00,64791.65535714285,take_profit,30.712639602907455,64040.6250000002,3.3252619060908395,False,1.25,1.25,29,338938.423104061,402979.04810406116,61981.228571428575,64791.65535714285,20250,Tier 4: $338k-$507k ($20.2k risk)
72,2024-07-21 07:15:00,66637.3,2024-07-21 15:30:00,67391.14964285714,take_profit,84.951456310682,64040.62500000139,1.1312727899496797,False,1.0,1.0,33,402979.04810406116,467019.67310406256,66375.09142857144,67391.14964285714,20250,Tier 4: $338k-$507k ($20.2k risk)
73,2024-08-14 07:00:00,60726.5,2024-08-14 12:15:00,61688.05196428571,take_profit,66.60131472725264,64040.62500000061,1.5834141013984189,False,1.25,1.25,21,467019.67310406256,531060.2981040631,60392.04714285715,61688.05196428571,20250,Tier 4: $338k-$507k ($20.2k risk)
74,2024-10-19 06:45:00,68311.9,2024-10-19 11:00:00,68163.12999999999,stop_loss,207.0309874302558,-30800.0,-0.21778050383608724,False,1.25,1.25,17,531060.2981040631,500260.29810406314,68163.12999999999,68739.61374999999,28000,Tier 5: $507k-$760k ($28.0k risk)
75,2024-10-19 11:45:00,68071.6,2024-10-20 14:00:00,68501.60553571429,take_profit,148.92976876128864,64040.62500000245,0.6316959432631003,False,1.25,1.25,105,500260.29810406314,564300.9231040656,67922.03285714287,68501.60553571429,20250,Tier 4: $338k-$507k ($20.2k risk)
76,2024-10-30 08:45:00,72266.5,2024-10-30 11:45:00,71996.19142857143,stop_loss,113.94385252832808,-30800.0,-0.37404408879435125,False,1.25,1.25,12,564300.9231040656,533500.9231040656,71996.19142857143,73043.63714285713,28000,Tier 5: $507k-$760k ($28.0k risk)
77,2024-11-07 11:45:00,74776.9,2024-11-07 15:30:00,75662.45339285713,take_profit,99.99397067894637,88549.99999999818,1.184260637786721,False,1.0,1.0,15,533500.9231040656,622050.9231040637,74468.88142857142,75662.45339285713,28000,Tier 5: $507k-$760k ($28.0k risk)
